Id,PostTypeId,AcceptedAnswerId,ParentId,CreationDate,DeletionDate,Score,ViewCount,Body,OwnerUserId,OwnerDisplayName,LastEditorUserId,LastEditorDisplayName,LastEditDate,LastActivityDate,Title,Tags,AnswerCount,CommentCount,FavoriteCount,ClosedDate,CommunityOwnedDate
"700011","1","700243","","2009-03-31 04:39:24","","0","277","<p>On every break on the Production/QA/Dev getting to the root of the exception is very crucial and time taking process.</p>

<p>As the web applications are in multi user environment and Stateless \ Asynchronous (HTTP) ,its really a tough job to look at the Eventviewer / log files and root cause an issue reported by the end user; Also it depends on how educated the End-user to explain the issue in detail. </p>

<p>I came up with a creative way to log the Exceptions. Which makes the job easier for the End user and Dev team?</p>

<p>We will follow a signature to log the Exceptions into an XML file, and which can be processed remotely for viewing or reports on Exceptions</p>

<p>The signature of the Static method in the Error logging class is as follows</p>

<p><em>WriteLog (Unique Number , Module Name, Priority, Layer ,String Custom Message,Exception with Stack Trace);</em> </p>

<p>I know there are many reusable Exception handling libraries, but what I was looking at is a unique number to track the issue that should get displayed to the end user</p>

<p>Response back to the User : </p>

<p>If the Exception is expected to handled and consumed then it’s up the developer to show the valid user-friendly message to the end user. Incase of any unexpected or exception is thrown to the Application layer ( Global .asax ) the Response would be cleared and Custom Message in HTML will be written back to the user with the Unique ID like the below one</p>

<p>“ An Unexpected Error has occurred , the Exception has be recorded for further action; Please use the # <em>Unique number generated</em>  to communicate the Support team “</p>

<p>Parameter Details :  </p>

<p>Unique Number : This is the unique number generated for every Exception,  a read only (get) property in the ErrorLogging Class which would be unique per exception , this would be concatenation of the <em>Hour+Minutes+Seconds+Milliseconds</em>;  initially I thought to use GUID but then it would be tough for the end user to remember the GUID to report the issue.  </p>

<p>Public string strExceptionID {</p>

<pre><code>      Get { 

      return  DateTime.Now.ToString(“HHmmssfff”);

          }    

     }
</code></pre>

<p>Module Name : This would be a Static Enum variable with Module Name
Ex : 
enum ModuleName { </p>

<pre><code>    Module1, 

    Module2, 

    Module3  };
</code></pre>

<p>Priority:   This would be a Static Enum variable with Priority , developer has to decide  the priority like if it’s a validation fail of Date or integer format use “Low” or if its unexpected in a Business layer call then use “2” .  </p>

<p>I think Priority High should be used in only in DAL or in Business Logic Layer or like if the interface to SAP or Ariba fails.
Ex : enum Priority { </p>

<pre><code>        High =1, 
      Medium =2, 
      Low =3, };
</code></pre>

<p>Layer :</p>

<p>This would be a Static Enum variable with Layer 
Ex : enum Layer { </p>

<pre><code>      Presentation, 
      Business, 
      DataAccess 
            };
</code></pre>

<p>String Custom Message :</p>

<p>This is optional parameter, and its upto the developer to supply an information to help explain the Reason or Empty string can be passed.</p>

<p>Exception with Stack Trace : This would the Exception object which would be further processed inside the method.</p>

<p>The processing done inside the error log method :</p>

<p>The method will  additionally get the logged-in Userid and timestamp and write it to the XML File. </p>

<p>Pros :</p>

<p>-> XML Logging will enable us to process an use it in any manner
-> The exceptions can be viewed remotely in a browser.
-> Easy to trace and find any exception.
-> We can search , sort exception based on Module, Priority , Time Stamp , UserID…etc
-> We can generate reports @ Module level , Layer wise , Priority , Time…</p>

<p>Cons :
         Dependency on the XML file, if its lost all the exceptions would go for a toss, we can overcome this in two ways; writing the xml to DB on timely basis OR write this on top of Event viewer logging as we'll always have the backup.</p>

<p>Based on the review comments I'll post the XML Schema and the ASPX page to view and search the errors.</p>

<p>Please take time to review and give ur feedback.</p>
","505083","novice","","","","2013-01-03 19:54:22","Need Review Comments for my Error Logging Mechanism","<logging><exception-handling>","6","0","","",""
"700013","1","700046","","2009-03-31 04:42:39","","4","1147","<p>I am a senior software engineer, and a few months ago I have been asked to help with co-ordination of bug corrections. The project manager (non technical) has given me an objective of improving productivity to 1 bug correction per man/day. This has been a real challenge, and I would like to know what other developers/managers may have done to improve bug correction rates.</p>

<p>Some factors that play a role in this situation:</p>

<ul>
<li>team is geographically distributed (Europe, Asia, Australia), 10-20 developers in each area</li>
<li>large code base that I am not all that familiar with as I have been with the company for only 9 months</li>
<li>only the least experienced developers are allocated to bug corrections, most capable developers are working on enhancements</li>
<li>we follow agile, so we use source control, continuous integration, bug database, project has schedule and specs for new work, we have testers and do usability testing</li>
<li>our code is dependent on many in house and third party components / libraries</li>
<li>program manager has some old bug correction metrics, showing 0.7 bug correction per man/day. My concern is that this was based on a team of experienced developers working on a prototype, correcting bugs in code that they themselves wrote. Now I am co-ordinating a team of developers that are not familiar with the code, and the bugs are originating from the validation team.</li>
</ul>

<p>Some more information after reading first few answers:</p>

<ul>
<li>I have tried to argue against using the bugs corrected productivity metric, didn't get too far with this approach</li>
<li>all bugs are prioritized (1-5), include a severity (1-5) and tagged with additional information (eg. BLOCKED by another bug, CRASH, NOT-REPRODUCIBLE, etc)</li>
<li>most bugs have a unit test case written when they are corrected</li>
<li>bugs in particular area of code are allocated to the people familiar with that area, if possible</li>
<li>bug correction rates are tracked on a per team basis, and correction history is kept</li>
<li>in daily stand ups I try to get people moving by asking for blocking issues and solving them</li>
<li>all new code is written with unit tests</li>
<li>yes, i have been doing my best to improve the productivity metric by various means - closing old non-relevant bugs, creating and correcting bugs for issues that would otherwise be solved without a bug report</li>
<li><p>i have developed python scripts that access the bug database directly to automate some mundane aspects of bug management and for report creation</p></li>
- 
</ul>
","10814","Ivo Bosticky","10814","Ivo Bosticky","2009-03-31 05:18:03","2009-03-31 05:18:03","Improving productivity to 1 Bug correction per man/day","<project-management><bug-tracking><maintenance>","4","0","2","",""
"700016","1","700032","","2009-03-31 04:42:58","","3","1284","<p>How do you format a number as a string so that it takes a number of spaces in front of it?  I want the shorter number 5 to have enough spaces in front of it so that the spaces plus the 5 have the same length as 52500.  The procedure below works, but is there a built in way to do this?</p>

<pre><code>a = str(52500)
b = str(5)
lengthDiff = len(a) - len(b)
formatted = '%s/%s' % (' '*lengthDiff + b, a)
# formatted looks like:'     5/52500'
</code></pre>
","84952","","84952","hekevintran","2009-03-31 05:12:20","2009-03-31 05:13:02","Format a number as a string","<python><string><integer><format>","5","0","","",""
"700019","1","","","2009-03-31 04:44:16","","1","430","<p>I have a hidden section in my Html template (Am using Django templates), the hidden section is a login form, i want when a user clicks some login text(link), the html text hidding the form should slide downwards revealing the form.</p>

<p>I have a feeling this can be done in Javascript!</p>

<p>Am using django, please give step by step details of how to include the javascript in my project.</p>

<p>Help</p>

<p>Gath</p>
","81797","Gath","","","","2009-04-02 13:08:07","What is the best way of sliding section of html using javascript?","<javascript><django>","3","0","","",""
"700025","1","700047","","2009-03-31 04:46:54","","3","884","<p>I'm not an electronics guy, so I might not be able to explain precisely what I need. This is a question a friend keeps asking me.</p>

<p>What my friend is looking for is a programming language that would allow him to:</p>

<ol>
<li>Interface with hardware (via serial and USB ports).</li>
<li>Write multithreaded code.</li>
<li>Throw together UIs very quickly.</li>
<li>Port his code to Linux and OS X as easily as possible (okay, this is what <em>I</em> want).</li>
</ol>

<p>He is building a tool for a local group that teaches very basic robotics to college students. Right now he's using C++, but writing the UI code in C++ is not exactly a fun task. He is also using some Windows-specific libraries for (1), which means I can neither try out his code nor help him with fixing bugs (I use a Mac).</p>

<p>EDIT: Libraries for Python/Ruby are welcome.</p>
","47135","General Maximus","96780","","2009-05-27 09:57:11","2011-01-06 13:28:46","What would be a good programming language (or a set of libraries for C++) to interface with electronic components (stepper motors etc.)?","<c++><cross-platform><hardware><programming-languages><electronics>","5","0","3","",""
"700027","1","","","2009-03-31 04:47:02","","0","763","<p>how to convert YUY2,YUV, RGB565 and More Video subtype into RGB24 Subtype Video in DirectShow + VC++</p>

<p>can u understand my question?</p>

<p>I have a Upstream filter its output is in YUY2 Format but i need to convert it into RGB24 Format.</p>

<p>Is there any inbuilt Filters in DirectShow or we have to convert it through my code.</p>

<p>i have already added ColorSpaceConverter But it is not Connecting with Smart Tee Input Pin.</p>
","","BALA","48387","Sander Versluys","2009-06-04 20:33:02","2010-12-24 05:50:14","Convert any Form Video into RGB24 Media","<visual-c++><directshow>","1","0","","",""
"700040","1","","","2009-03-31 04:53:22","","2","3381","<h2>Java Socket Program did not work for WAN</h2>

<p>I have written a TCP IP socket program which works fine in my LAN.
One of my friend is at bangalore He ran the server and I ran the 
client with the host name of my friend's IP. In this case my 
socket program did not work.</p>
","","Bapi","2961","Bapi","2010-04-24 07:56:08","2015-05-14 10:47:43","Java Socket Programming","<java><sockets>","5","5","2","",""
"700042","1","700925","","2009-03-31 04:54:02","","1","4455","<p>I'd like to animate multiple pieces for a game and i'd like to have those pieces move in different directions so my current method of animating an entire view will no longer work. </p>

<p>I'm wondering what is the best practice for animating multiple items at once. (Note i'm rendering in 2d so i'm not currently interested in 3d soltuions.)</p>

<p>Thanks!</p>
","81008","Skyler","","","","2010-09-06 14:43:59","How should I do multiple animations on the iPhone?","<iphone><core-animation><2d><quartz-graphics><calayer>","2","2","2","",""
"700043","1","700107","","2009-03-31 04:54:49","","23","7874","<p>Ok, this is annoying.</p>

<p>MSTest executes all of my tests simultaneously which causes some of them to fail.  No this is not because my tests are fragile and susceptible to build order rather it is because this is a demo project in which I use a Db4o object database running from a file.</p>

<p>So I have a couple of DataAccess tests checking that my repositories work correctly and boom, MSTest blows up.  Since it tries to run all its tests at the same time it gets an error when a test tries to access the database file while other tests are using it.</p>

<p>Can anyone think of a quick way around this?  I don't want to ditch MSTest (ok I do but another story) and I sure as heck don't want to run a full-blown database service so I'll take any way to force MSTest not to run simultaneously or tricks with opening files.</p>

<p>Anyone have any ideas?</p>
","5056","George Mauer","","","","2018-04-26 07:46:01","MSTest executing all my tests simultaneously breaks tests - what to do","<configuration><mstest>","3","0","8","",""
"700045","1","702239","","2009-03-31 04:55:10","","0","3214","<p>I have a very simple usercontrol, basically a textbox and a label, whose purpose is to toggle between one another. The control is bound during the page's <code>Page_Load event</code>. On the UserControl's <code>Page_Load</code> event, I call the Toggle() function, which shows or hides the appropriate control and sets its text based on a boolean Editable property and string Text property, respectively.</p>

<p>Here's my Toggle() method (remember Editable and Text are public properties):</p>

<pre><code>Public Sub Toggle()
    If Editable Then
        txtText.Visible = True
        lblText.Visible = False
        txtText.Text = Text
        txtText.CssClass = TextboxCSSClass
    Else
        txtText.Visible = False
        lblText.Visible = True
        lblText.Text = Text
        lblText.CssClass = LabelCSSClass
    End If
End Sub
</code></pre>

<p>My problem is also simple: when a button on the page calls the control's Toggle() method, the toggling works fine, but the text disappears! I've tried this with a normal unbound textbox next to it, and the textbox maintains its text value just fine. Is there something I'm missing?</p>

<p>Thanks for your help in advance.</p>
","7173","Jason","7173","Jason","2009-03-31 05:00:56","2009-03-31 22:01:06","UserControl Textbox Won't Maintain State","<asp.net><user-controls><state>","3","2","","",""
