Id,SourceTagName,TargetTagName,CreationDate,OwnerUserId,AutoRenameCount,LastAutoRename,Score,ApprovedByUserId,ApprovalDate
"3","windows-forms","winforms","2010-07-14 06:34:55","23354","606","2018-11-30 22:01:14","0","23354","2010-07-14 06:34:55"
"5","c-sharp","c#","2010-07-14 22:30:24","17174","184","2018-11-29 10:36:02","0","17174","2010-07-14 22:30:24"
"7","hg","mercurial","2010-07-15 22:46:06","17174","1012","2018-11-13 16:46:12","0","17174","2010-07-15 22:46:06"
"9","dotnet",".net","2010-07-16 00:02:29","17174","1505","2018-11-27 12:49:40","0","17174","2010-07-16 00:02:29"
"10","threading","multithreading","2010-07-16 00:04:00","17174","4035","2018-12-01 14:09:37","0","17174","2010-07-16 00:04:00"
"11","multithread","multithreading","2010-07-16 00:04:21","17174","541","2018-11-21 12:03:24","0","17174","2010-07-16 00:04:21"
"13","rails","ruby-on-rails","2010-07-16 00:06:30","17174","52236","2018-12-02 00:15:04","0","17174","2010-07-16 00:06:30"
"14","js","javascript","2010-07-16 00:07:56","13531","28717","2018-12-02 05:42:25","0","13531","2010-07-16 00:07:56"
"15","vc++","visual-c++","2010-07-16 00:11:44","17174","2553","2018-12-01 13:18:13","0","17174","2010-07-16 00:11:44"
"18","source-control","version-control","2010-07-16 00:17:21","17174","369","2018-11-22 16:58:28","0","17174","2010-07-16 00:17:21"
"19","blog","blogs","2010-07-16 00:18:16","17174","1642","2018-11-30 14:32:13","0","17174","2010-07-16 00:18:16"
"21","ui","user-interface","2010-07-16 00:24:40","17174","6724","2018-11-30 03:47:39","0","17174","2010-07-16 00:24:40"
"22","vs2008","visual-studio-2008","2010-07-16 00:25:49","17174","1201","2018-11-28 04:00:26","0","17174","2010-07-16 00:25:49"
"23","vs2005","visual-studio-2005","2010-07-16 00:26:24","17174","354","2018-11-30 08:33:28","0","17174","2010-07-16 00:26:24"
"24","vs2010","visual-studio-2010","2010-07-16 00:26:44","17174","3377","2018-11-30 10:01:30","0","17174","2010-07-16 00:26:44"
"27","primary-keys","primary-key","2010-07-16 00:32:08","17174","3","2015-11-27 13:51:32","0","17174","2010-07-16 00:32:08"
"28","foreign-key","foreign-keys","2010-07-16 00:33:09","17174","294","2018-11-07 16:24:46","0","17174","2010-07-16 00:33:09"
"29","postgres","postgresql","2010-07-16 00:37:27","17174","5139","2018-11-30 07:06:54","0","17174","2010-07-16 00:37:27"
"30","macosx","macos","2010-07-16 01:05:40","13531","2291","2018-11-04 23:07:26","0","13531","2010-07-16 01:05:40"
"32","j2me","java-me","2010-07-16 01:12:15","13531","3467","2018-10-09 00:29:16","0","13531","2010-07-16 01:12:15"
"33","ie","internet-explorer","2010-07-16 02:35:11","1228","5838","2018-11-29 09:57:04","0","1228","2010-07-16 02:35:11"
"34","msie","internet-explorer","2010-07-16 02:35:42","1228","65","2018-11-12 11:54:38","0","1228","2010-07-16 02:35:42"
"35","applets","applet","2010-07-16 15:51:08","1288","135","2018-08-03 06:19:37","0","1288","2010-07-16 15:51:08"
"38","ejb-3","ejb-3.0","2010-07-16 15:51:08","1288","7","2016-09-12 15:00:04","0","1288","2010-07-16 15:51:08"
